           LISTA DE TOKENS            
TOKEN        LEXEMA          LINEA    COL      SCOPE/INFO     
LLAVE_I      -               161      27       N/A            
LLAVE_I      -               161      29       N/A            
INT_LIT      4               161      31       N/A            
COMMA        -               161      32       N/A            
INT_LIT      5               161      33       N/A            
LLAVE_D      -               161      34       N/A            
LLAVE_D      -               161      36       N/A            
PYC          -               161      38       N/A            
COUT         -               163      4        N/A            
SEP          -               163      8        N/A            
PAR_I        -               163      9        N/A            
STRING_LIT   Llamando func1\n 163      12       N/A            
PAR_D        -               163      31       N/A            
PYC          -               163      33       N/A            
ID           in1             165      4        Scope 9        
ASSIGN       -               165      8        N/A            
ID           _func2_         165      11       Scope 0        
PAR_I        -               165      18       N/A            
ID           func1           165      20       Scope 0        
PAR_I        -               165      25       N/A            
ID           miChar          165      27       Scope 9        
COMMA        -               165      33       N/A            
CHAR_LIT     e               165      34       N/A            
PAR_D        -               165      37       N/A            
MULT         -               165      39       N/A            
FLOAT_LIT    2.0             165      40       N/A            
COMMA        -               165      43       N/A            
ID           in1             165      44       Scope 9        
DIV          -               165      47       N/A            
ID           _x50_           165      48       Scope 9        
ARR_I        -               165      53       N/A            
INT_LIT      0               165      55       N/A            
ARR_D        -               165      56       N/A            
ARR_I        -               165      58       N/A            
INT_LIT      0               165      60       N/A            
ARR_D        -               165      61       N/A            
PAR_D        -               165      63       N/A            
PYC          -               165      65       N/A            
COUT         -               167      4        N/A            
SEP          -               167      8        N/A            
PAR_I        -               167      9        N/A            
STRING_LIT   Resultado final =  167      12       N/A            
PAR_D        -               167      33       N/A            
PYC          -               167      35       N/A            
COUT         -               169      4        N/A            
SEP          -               169      8        N/A            
PAR_I        -               169      9        N/A            
ID           in1             169      12       Scope 9        
PAR_D        -               169      16       N/A            
PYC          -               169      18       N/A            
COUT         -               171      4        N/A            
SEP          -               171      8        N/A            
PAR_I        -               171      9        N/A            
STRING_LIT   \n===== FIN =====\n 171      12       N/A            
PAR_D        -               171      34       N/A            
PYC          -               171      36       N/A            
LLAVE_D      -               173      0        N/A            
